COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Belgium,BEL,EURO,REPORTING,2021-03-30,1772613,1260179,15.4,10.937,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-28,3
Hungary,HUN,EURO,REPORTING,2021-03-23,2603932,1913557,26.7,19.587,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,6
Somalia,SOM,EMRO,REPORTING,2021-03-29,12803,,0.081,,SII - Covishield,2021-03-16,1
Japan,JPN,WPRO,REPORTING,2021-03-07,46469,46469,0.037,0.037,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-17,4
Croatia,HRV,EURO,REPORTING,2021-03-30,451931,364499,11.1,9.016,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
British Virgin Islands,VGB,AMRO,REPORTING,2021-03-26,7162,7162,23.686,23.686,AstraZeneca - AZD1222,2021-02-11,1
North Macedonia,MKD,EURO,REPORTING,2021-03-23,9906,6544,0.5,0.314,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-17,2
Andorra,AND,EURO,OWID,2021-03-19,9288,,12,,Pfizer BioNTech - Comirnaty,,1
Nicaragua,NIC,AMRO,REPORTING,2021-03-11,0,0,0,0,Gamaleya - Sputnik V,2021-03-02,1
Mongolia,MNG,WPRO,REPORTING,2021-03-19,100004,98131,3.05,2.993,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5
Côte d’Ivoire,CIV,AFRO,REPORTING,2021-03-26,36832,,0.14,,SII - Covishield,2021-02-13,1
Pakistan,PAK,EMRO,REPORTING,2021-03-26,659467,,0.299,,"Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,SII - Covishield",2021-02-03,4
Uganda,UGA,AFRO,REPORTING,2021-03-26,50059,,0.109,,SII - Covishield,2021-03-10,1
Australia,AUS,WPRO,OWID,2021-03-30,597523,,2.343,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Kuwait,KWT,EMRO,REPORTING,2021-03-23,500000,,11.708,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2020-12-28,3
